Field Name,Data Type,Description,Source,Format / Validation,Constraints,Example,Sensitivity,Entity / Table,FHIR Resource,Relationships,Update Frequency,Nullable,Indexed,Notes,FHIR Change Notes
name_script,code,Indicates the script in which this name instance is recorded.,,"From defined script value set: Khmer, Latin.",Required for each name instance,Khmer,Internal,facility_name,Location.name + http://hl7.org/fhir/StructureDefinition/translation (language/script tag),Combined with name_use to uniquely identify a name instance.,Static,No,No,"Permitted values: Khmer, Latin. Minimum one Khmer script official name required. Latin script name strongly recommended.",ERROR CORRECTED: R4 Location.name is a plain string with no script attribute. Multilingual names use the standard HL7 translation extension on Location.name and Location.alias. Was: Location.name (script extension)
facility_name,string(255),Official name of the facility in the script indicated by name_script. Does not include the facility type acronym prefix  type is stored separately in the classification group.,,Free text in the script indicated by name_script. Must not include facility type acronym prefix.,Required for at least one Khmer script official name instance,?????????? ?,Internal,facility_name,"Location.name (Khmer official, primary) | Location.alias (Latin/alternate script)",Part of facility_name record. Type acronym derived separately from facility_type field.,Infrequent,No,Yes,Separating the name from the type prefix corrects a known data quality issue in the existing MFL where type changes require name field edits. Type is managed as a classification attribute and rendered at display time.,ERROR CORRECTED: Location.name holds the single primary official name. Alternate-script and former names use Location.alias (repeatable string). Apply translation extension for language/script tagging on each. Was: Location.name
CLASSIFICATION,,,,,,,,,,,,,,,
facility_type,code,Type of health facility as defined by the MoH facility classification framework.,,From CamDHEA facility type value set.,Required,HealthCenter,Internal,facility,Location.type (CodeableConcept; code + display from CamDHEA facility type value set),Used to derive the type acronym for display. Informs applicable service package expectations.,Infrequent,No,Yes,"Permitted values: HealthCenter, HealthCenterWithBed, DistrictReferralHospital, ProvincialHospital, NationalHospital, HealthPost, MedicalStore, Warehouse, Laboratory, BloodBank, Other. Value set maintained in CamDHEA Terminology Registry.",CLARIFIED: Location.type is a CodeableConcept (0..*). Acronym display belongs in Location.type.coding[0].display. No change to resource element; notation clarified. Was: Location.type
facility_type_acronym,string(10),Short code for the facility type used for display and labelling purposes.,,From CamDHEA facility type value set. Derived from facility_type.,Required; derived from facility_type,HC,Internal,facility,Location.type.coding[0].display (derived from facility_type -- do not map as independent FHIR element),Derived from facility_type. Rendered at display time  not stored independently.,Infrequent,No,No,"Permitted values: HC, HCB, RH, PH, NH, HP, MS, WH, LAB, BB, Other. Derived field  must not be entered independently.",ERROR CORRECTED: Acronym is the display value of the facility_type coding. As a derived non-stored field it should not carry its own FHIR mapping. Path made precise. Was: Location.type (display)
facility_level,code,"Service delivery level of the facility as defined by the MoH, indicating the minimum package of activities the facility is expected to deliver.",,From CamDHEA facility level value set.,Required for public sector facilities; optional for private,MPA,Internal,facility,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/facility-level, CodeableConcept)",Informs expected service package. Actual services available are captured separately in the services group  a facility may not deliver all services implied by its level.,Infrequent,No,Yes,"Permitted values: MPA, CPA1, CPA2, CPA3, Specialized, NotApplicable. The distinction between level and actual services is critical  level indicates classification, services indicate operational reality.",WARNING ADDRESSED: Formal extension URL declared with explicit CodeableConcept type. Generic parenthetical notation insufficient for a conformant IG profile. Was: Location.extension (facility level)
ownership_type,code,Type of entity that owns or manages the facility.,,From CamDHEA ownership type value set.,Required,MOH,Internal,facility,Location.extension (ownership),Informs applicable licensing requirements and governance arrangements.,Infrequent,No,Yes,"Permitted values: MOH, OtherMinistry, NGO, FaithBased, Private, DevelopmentPartner, Other.",
managing_entity_name_use,code,Indicates the purpose or context of this managing entity name instance. The managing entity name group is repeatable  one instance per script.,,From FHIR name use value set.,Required for each managing entity name instance where managing_entity_name is recorded,official,Internal,facility_managing_entity,Organization.name (official) | Organization.alias (old/alternate),Qualifies each managing_entity_name record. Combined with managing_entity_name_script to uniquely identify a name instance.,Infrequent,Yes,No,"Permitted values: official, old. At minimum one Khmer script official name is required for private sector facilities where the managing entity is a Cambodian-registered legal entity.",ERROR CORRECTED: Location.managingOrganization is a Reference(Organization) and cannot hold name attributes directly. Name fields belong on the referenced Organization resource. Was: Location.managingOrganization.name (use extension)
managing_entity_name_script,code,Indicates the script in which this managing entity name instance is recorded.,,"From defined script value set: Khmer, Latin.",Required for each managing entity name instance,Khmer,Internal,facility_managing_entity,Organization.name + http://hl7.org/fhir/StructureDefinition/translation (language/script tag),Combined with managing_entity_name_use to uniquely identify a name instance.,Static,Yes,No,"Permitted values: Khmer, Latin. For Cambodian-registered private facilities, both Khmer and Latin script name instances are expected  the Khmer script name is the legally registered name; the Latin script name supports English-language reporting and system display.","ERROR CORRECTED: Script/language belongs on the Organization resource via the HL7 translation extension, not on the Location.managingOrganization reference. Was: Location.managingOrganization.name (script extension)"
managing_entity_name,string(255),Name of the organisation or entity that manages the facility. Required for non-MOH facilities to identify the operating organisation.,,Free text.,Required where ownership_type is not MOH,Sunrise Medical Clinic Co. Ltd,Internal,facility,Organization.name; referenced via Location.managingOrganization -> Reference(Organization),"For private facilities, this is the registered legal entity name. For NGO or faith-based facilities, the organisation name.",Infrequent,Yes,No,,ERROR CORRECTED: Location.managingOrganization is a Reference(Organization). The name must be stored on the Organization resource and referenced from Location.managingOrganization. Was: Location.managingOrganization
GEOGRAPHIC LOCATION,,,,,,,,,,,,,,,
province_code,string(2),"Province or capital city code where the facility is administratively located, per the national administrative boundary reference.",,2-digit numeric code from national administrative boundary reference.,Required,1,Internal,facility_location,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/administrative-code#province, code)",Links to national administrative boundary reference for name resolution. Parent of district_code.,Infrequent,No,Yes,Code only  province name resolved at query time from the national administrative boundary reference. Storing names redundantly produces inconsistency when names change.,"WARNING ADDRESSED: Named extension URL replaces generic ""Location.address (extension)"". Each administrative level needs a distinct URL to be unambiguous in a FHIR profile. Was: Location.address (extension)"
district_code,string(4),"Administrative district code where the facility is located, per the national administrative boundary reference.",,4-digit numeric code from national administrative boundary reference.,Required,102,Internal,facility_location,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/administrative-code#district, code) | Location.address.district (string, for human-readable name)",Child of province_code. Parent of od_code.,Infrequent,No,Yes,Code only  name resolved at query time.,WARNING ADDRESSED: Named extension URL added. Location.address.district exists as native R4 string for district name -- codes use the extension. Was: Location.address (extension)
od_code,string(4),"Operational district code as defined by the MoH, per the national administrative boundary reference.",,4-digit numeric code from MoH OD reference.,Required for public sector facilities,102,Internal,facility_location,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/operational-district-code, code)",MoH operational unit. May differ from administrative district. Used for programme planning and reporting aggregation.,Infrequent,No,Yes,OD boundaries are defined by MoH and may not align with administrative district boundaries. Both are captured to support both administrative and health system reporting hierarchies.,WARNING ADDRESSED: Named extension URL added. OD is MoH-specific with no native R4 field. Was: Location.address (extension)
commune_code,string(6),"Commune or Sangkat code where the facility is located, per the national administrative boundary reference.",,6-digit numeric code from national administrative boundary reference.,Required,10209,Internal,facility_location,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/administrative-code#commune, code)",Child of district_code.,Infrequent,No,Yes,Code only  name resolved at query time.,WARNING ADDRESSED: Named extension URL added. Was: Location.address (extension)
village_code,string(8),"Village code where the facility is physically located, per the national administrative boundary reference.",,8-digit numeric code from national administrative boundary reference.,Required,1020914,Internal,facility_location,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/administrative-code#village, code)",Child of commune_code. Distinct from catchment villages which are captured in the catchment group.,Infrequent,No,Yes,This is the village of physical location only  not to be confused with catchment villages which are managed in the catchment group.,WARNING ADDRESSED: Named extension URL added. Was: Location.address (extension)
PHYSICAL LOCATION,,,,,,,,,,,,,,,
gps_latitude,"decimal(9,6)",Latitude coordinate of the facility in decimal degrees (WGS84).,,"Decimal degrees, WGS84 datum. Range: -90 to 90.",Required,13.544937,Internal,facility,Location.position.latitude,Combined with gps_longitude for geographic mapping and proximity-based queries.,Infrequent,No,Yes,Must be captured using GPS device or validated mapping tool. Manual entry of approximate coordinates must be flagged using coordinate_accuracy field.,
gps_longitude,"decimal(9,6)",Longitude coordinate of the facility in decimal degrees (WGS84).,,"Decimal degrees, WGS84 datum. Range: -180 to 180.",Required,103.021635,Internal,facility,Location.position.longitude,Combined with gps_latitude.,Infrequent,No,Yes,,
coordinate_accuracy,code,Indicates the method and confidence level of the GPS coordinates recorded.,,From defined coordinate accuracy value set.,Required,GPSDevice,Internal,facility,Location.position (extension),Qualifies gps_latitude and gps_longitude.,Infrequent,No,No,"Permitted values: GPSDevice, MappingTool, Estimated, Unknown. Estimated and Unknown coordinates should be flagged for field verification.",
google_maps_link,string(500),URL to the facility location on Google Maps. Supplementary to GPS coordinates.,,Valid URL.,Optional,https://maps.app.goo.gl/s8NsM1jMYSDL4BUNA,Internal,facility,Location.extension (map link),,On user action,Yes,No,Not authoritative  GPS coordinates are the primary location record. Useful for field navigation and verification.,
ADMINISTRATIVE,,,,,,,,,,,,,,,
facility_head_hwid,string(7),HWID of the health worker currently serving as facility head. References the health worker registry for full personnel details.,,7-digit numeric string. Must pass Damm check digit validation and reference an active HWID in the health worker registry.,Required,3428137,Internal,facility,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/facility-head, Reference(Practitioner) or Identifier(system=https://camdhea.gov.kh/ns/hwid))",Foreign key to health worker registry. Replaces free-text name field  current head details resolved from HWR at query time.,On user action,No,Yes,Storing HWID rather than a name ensures the record remains accurate when the facility head changes without requiring a name field update. Full name and contact details retrieved from HWR using this HWID.,"NOTE: If HWR exposes FHIR Practitioner resources, use Reference(Practitioner) in extension. Otherwise use typed Identifier (not plain string) so HWID system and value are structured. Was: Location.extension (facility head)"
contact_number,string(20),Primary contact phone number for the facility  may be the facility head or a designated focal point.,,E.164 format where possible. Must include country code.,Required,85512888999,Internal,facility,"Location.telecom (system=phone, use=work, value=E.164 formatted number)",,On user action,No,No,,WARNING ADDRESSED: ContactPoint sub-elements specified. system=phone and use=work are required -- consumers cannot distinguish phone from email/fax without the system discriminator. Was: Location.telecom
operational_status,code,Current operational condition of the facility.,,From defined operational status value set.,Required,Operational,Internal,facility,"Location.operationalStatus (Coding, v2-0116 value set, extensible) + Location.status (active | suspended | inactive)",Informs whether facility appears in active facility lists and service availability queries.,On user action,No,Yes,"Permitted values: Operational, Closed, Suspended, Pending, UnderConstruction, UnderRenovation. Closed facilities are retained in the registry with HFID intact  never deleted.","ERROR CORRECTED: Location.status is bound to a 3-code value set only. Location.operationalStatus (extensible Coding) is the correct R4 element for richer operational states (Pending, UnderConstruction, UnderRenovation etc.). Was: Location.status"
start_date,date,"Date the facility was officially established, based on the inter-ministerial Prakas or equivalent authorising document.",,ISO 8601 YYYY-MM-DD.,Required,7/1/2022,Internal,facility,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/operational-period, Period.start)",,Static once recorded,No,No,"For private facilities, the date of first licence issue may be used where an official establishment date is not available.",NOTE: start_date and closure_date together form an operational Period. Combining as Period.start/Period.end in a single extension is cleaner than two separate extensions. Was: Location.extension (start date)
closure_date,date,Date the facility ceased operations.,,ISO 8601 YYYY-MM-DD. Must not be earlier than start_date.,Conditional  required if operational_status is Closed,3/15/2024,Internal,facility,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/operational-period, Period.end)",Qualifies operational_status = Closed.,Static once recorded,Yes,No,,NOTE: Paired with start_date as Period.end in a single operational-period extension. Was: Location.extension (closure date)
closure_reason,code,Reason the facility ceased operations.,,From defined closure reason value set.,Conditional  required if operational_status is Closed,MergedWithAnotherFacility,Internal,facility,Location.extension (closure reason),Associated with closure_date and successor_hfid where applicable.,Static once recorded,Yes,No,"Permitted values: MergedWithAnotherFacility, PermanentlyClosed, LicenceRevoked, NaturalDisaster, FundingCeased, Other.",
successor_hfid,string(6),HFID of the facility that replaced or absorbed this facility following closure or merger.,,6-digit numeric string. Must pass Damm check digit validation and reference an existing HFID.,Conditional  required if closure_reason is MergedWithAnotherFacility,519023,Internal,facility,Location.extension (successor),Foreign key to facility. Supports longitudinal data linkage across facility changes.,Static once recorded,Yes,No,Enables analysis systems to trace service continuity and historical patient flow across facility mergers.,
LICENSING,,,,,,,,,,,,,,,
licence_status,code,Current licensing status of the facility. Required for all non-MOH facilities.,,From defined licence status value set.,"Required for private, NGO, and faith-based facilities",Active,Internal,facility_licence,Location.extension (licence status),"Associated with licence_number, licensing_authority, and licence_expiry_date.",Infrequent,No,Yes,"Permitted values: Active, Expired, Suspended, Revoked, Pending, NotApplicable. NotApplicable used for MOH-owned facilities not subject to external licensing.",
licence_number,string(100),Most current licence number issued by the licensing authority.,,Per licensing authority format specification.,Required where licence_status is Active or Expired,HSD-2023-04821,Internal,facility_licence,"Location.identifier (system=<authority-URI>, type.coding from http://terminology.hl7.org/CodeSystem/v2-0203 or local code, use=official)",Issued by licensing_authority. Previous licence numbers retained as historical records.,Infrequent,Yes,Yes,Only the most current licence number is stored in this field. Historical licence numbers are retained as audit records in the facility_licence_history table.,WARNING ADDRESSED: Licence identifier needs system URI and type coding to be distinguishable from HFID and legacy identifiers. Was: Location.identifier (licence)
licensing_authority,code,Authority responsible for issuing and renewing the facility licence.,,From defined licensing authority value set.,Required where licence_status is not NotApplicable,HSD,Internal,facility_licence,Location.extension (licensing authority),Determines which authority must be contacted for licence verification.,Static once recorded,No,No,"Permitted values: HSD (Department of Hospital Services  for larger private facilities), OWS (One Window Service  for smaller private facilities), PHD (Provincial Health Department), NotApplicable.",
licence_issue_date,date,Date the current licence was issued.,,ISO 8601 YYYY-MM-DD.,Required where licence_number is recorded,1/15/2023,Internal,facility_licence,Location.extension (licence dates),Combined with licence_expiry_date to determine current validity.,Infrequent,Yes,No,,
licence_expiry_date,date,Date the current licence expires. Used to trigger renewal notifications.,,ISO 8601 YYYY-MM-DD. Must not be earlier than licence_issue_date.,Required where licence_number is recorded,1/14/2025,Internal,facility_licence,Location.extension (licence dates),Triggers licence expiry alerts when within 90 days of expiry.,Infrequent,Yes,Yes,Facilities with expired licences should be flagged in operational status workflows. Licence expiry does not automatically change operational_status  this requires an administrative action.,
OPERATING HOURS,,,,,,,,,,,,,,,
schedule_type,code,Type of schedule this operating hours record describes. The operating hours group is repeatable  one record per schedule type.,,From defined schedule type value set.,Required for each operating hours record,Regular,Internal,facility_schedule,"Location.hoursOfOperation.extension (http://camdhea.gov.kh/fhir/StructureDefinition/schedule-type, code) | Consider HealthcareService.availableTime for complex schedules",Qualifies each facility_schedule record. A facility may have multiple schedule types simultaneously.,On user action,No,No,"Permitted values: Regular, Emergency, OnCall. Regular covers standard outpatient hours. Emergency covers 24/7 emergency service availability. OnCall covers after-hours on-call availability for non-emergency needs. All three schedule types are captured to support future appointment booking functionality.",WARNING ADDRESSED: Named extension URL on hoursOfOperation BackboneElement specified. HealthcareService.availableTime noted as alternative for complex scheduling. Was: Location.hoursOfOperation (extension)
open_monday,boolean,Indicates whether the facility operates on Mondays under this schedule type.,,true or false.,Required for each schedule record,TRUE,Internal,facility_schedule,Location.hoursOfOperation.daysOfWeek,Part of the day-of-week boolean set for this schedule record.,On user action,No,No,,
open_tuesday,boolean,Indicates whether the facility operates on Tuesdays under this schedule type.,,true or false.,Required,TRUE,Internal,facility_schedule,Location.hoursOfOperation.daysOfWeek,,On user action,No,No,,
open_wednesday,boolean,Indicates whether the facility operates on Wednesdays under this schedule type.,,true or false.,Required,TRUE,Internal,facility_schedule,Location.hoursOfOperation.daysOfWeek,,On user action,No,No,,
open_thursday,boolean,Indicates whether the facility operates on Thursdays under this schedule type.,,true or false.,Required,TRUE,Internal,facility_schedule,Location.hoursOfOperation.daysOfWeek,,On user action,No,No,,
open_friday,boolean,Indicates whether the facility operates on Fridays under this schedule type.,,true or false.,Required,TRUE,Internal,facility_schedule,Location.hoursOfOperation.daysOfWeek,,On user action,No,No,,
open_saturday,boolean,Indicates whether the facility operates on Saturdays under this schedule type.,,true or false.,Required,FALSE,Internal,facility_schedule,Location.hoursOfOperation.daysOfWeek,,On user action,No,No,,
open_sunday,boolean,Indicates whether the facility operates on Sundays under this schedule type.,,true or false.,Required,FALSE,Internal,facility_schedule,Location.hoursOfOperation.daysOfWeek,,On user action,No,No,,
open_time,time,Time the facility opens under this schedule type on days marked as open.,,ISO 8601 HH:MM (24-hour). Null for OnCall schedules where no fixed open time applies.,Required for Regular and Emergency schedule types,8:00,Internal,facility_schedule,Location.hoursOfOperation.openingTime,,On user action,Yes,No,,
close_time,time,Time the facility closes under this schedule type on days marked as open.,,ISO 8601 HH:MM (24-hour). Null for 24-hour or OnCall schedules.,Required for Regular schedule type,17:00,Internal,facility_schedule,Location.hoursOfOperation.closingTime,,On user action,Yes,No,"For Emergency schedules operating 24 hours, set open_time = 00:00 and leave close_time null, with a schedule_notes value of '24 hours'.",
schedule_notes,string(255),"Free text notes qualifying the operating hours record, such as seasonal variations or service-specific hours.",,Free text.,Optional,Emergency services available 24 hours. Outpatient closes at 12:00 on Saturdays.,Internal,facility_schedule,"Location.hoursOfOperation.extension (http://camdhea.gov.kh/fhir/StructureDefinition/schedule-notes, string)",,On user action,Yes,No,,WARNING ADDRESSED: schedule_notes and schedule_type shared the same vague extension path -- each needs a distinct named URL. Was: Location.hoursOfOperation (extension) [same notation as schedule_type -- ambiguous]
SERVICES,,,,,,,,,,,,,,,
service_code,code,Code identifying a specific health service available at the facility. The services group is repeatable  one record per service. Value set derived from MoH MPA and CPA service package definitions.,,From CamDHEA service code value set (derived from MPA/CPA national service package definitions).,Required for each service record,ANC,Internal,facility_service,HealthcareService.type,One service record per available service. Facility level (MPA/CPA) indicates expected package  actual services captured here indicate operational availability which may differ.,Annually or on change,No,Yes,"Value set maintained in CamDHEA Terminology Registry, derived from MoH MPA and CPA service package definitions. A facility classified as MPA may not deliver all MPA services  this field captures what is actually available for service coverage monitoring.",
service_availability,code,Current availability status of this service at the facility.,,From defined service availability value set.,Required for each service record,Available,Internal,facility_service,"HealthcareService.active (boolean) + HealthcareService.extension (http://camdhea.gov.kh/fhir/StructureDefinition/service-availability, CodeableConcept)",Qualifies each service record.,Annually or on change,No,No,"Permitted values: Available, Unavailable, Seasonal, Referral. Referral indicates the facility can initiate referral for this service but does not deliver it directly.",ERROR CORRECTED: HealthcareService.active is boolean and cannot express Seasonal or Referral states. A custom CodeableConcept extension is required for the full value set. active remains true/false for record-level active status only. Was: HealthcareService.active
service_last_verified_date,date,Date this service availability record was last verified through a formal data quality process.,,ISO 8601 YYYY-MM-DD.,Required for each service record,1/15/2024,Internal,facility_service,HealthcareService.extension (verified date),,Annually or on change,No,No,Service data is expected to be reviewed and verified at minimum annually. Records not verified within 18 months should be flagged for review in data quality dashboards.,
EMERGENCY EQUIPMENT,,,,,,,,,,,,,,,
equipment_type,code,Type of emergency equipment present at the facility. The emergency equipment group is repeatable  one record per equipment type. See Emergency Equipment Value Set sheet for permitted values.,,From CamDHEA emergency equipment value set. See sheet: Emergency Equipment Value Set.,Required for each equipment record,OxygenConcentrator,Internal,facility_equipment,Location.extension (equipment),One equipment record per equipment type.,Annually or on change,No,Yes,"Value set defined in the Emergency Equipment Value Set sheet of this workbook. Where equipment data is fed from an asset management source system, the source_system_verified flag should be set to true and the quantity treated as system-authoritative.",
equipment_quantity,integer,Number of units of this equipment type present and functional at the facility.,,Positive integer. Zero indicates the equipment type is known to be absent.,Required for each equipment record,2,Internal,facility_equipment,Location.extension (equipment quantity),Qualifies equipment_type record.,Annually or on change,No,No,"Quantity reflects functional units only  non-functional equipment should not be counted. Where source system feed is active, quantity is updated from the source system rather than manually.",
equipment_last_verified_date,date,Date this equipment record was last verified.,,ISO 8601 YYYY-MM-DD.,Required for each equipment record,2/1/2024,Internal,facility_equipment,Location.extension (equipment verified),,Annually or on change,No,No,,
source_system_verified,boolean,Indicates whether this equipment record was populated from an authoritative source system (such as an asset management system) rather than manual entry.,,true or false. Defaults to false.,Required; defaults to false,FALSE,Internal,facility_equipment,Location.extension (source system flag),"When true, quantity is treated as system-authoritative and manual edits are restricted.",On system update,No,No,"Supports future integration with asset management or logistics systems. When source_system_verified is true, manual edits to equipment_quantity are locked pending a system update.",
WORKFORCE SUMMARY,,,,,,,,,,,,,,,
cadre_category,code,Health workforce cadre category for this aggregate count. The workforce summary group is repeatable  one record per cadre category. Cadre category value set to be defined in alignment with the health worker registry cadre classification.,,From CamDHEA cadre category value set. PLACEHOLDER  value set to be defined in alignment with health worker registry cadre structure.,Required for each workforce summary record,Nurse,Internal,facility_workforce,"PractitionerRole.code (CodeableConcept) | Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/workforce-summary#cadre, CodeableConcept) [summary use only]",Derived from health worker registry. Must not be manually entered  updated by HWR aggregation process.,Periodic  updated from HWR,No,Yes,"PLACEHOLDER: Cadre category value set will be defined once the health worker registry cadre classification is finalised. Suggested initial categories: Physician, Nurse, Midwife, Dentist, Pharmacist, AlliedHealth, CommunityHealthWorker, AdministrativeSupport. This field is derived  manual entry is not permitted.",WARNING ADDRESSED: FHIR R4 workforce is modelled via PractitionerRole. Extension on Location is a pragmatic summary shortcut -- document as such in IG. Was: Location.extension (workforce)
headcount,integer,"Number of health workers in this cadre category currently assigned to this facility, as recorded in the health worker registry.",,Non-negative integer.,Required for each workforce summary record; derived from HWR,12,Internal,facility_workforce,"PractitionerRole count (active records per Location+code) | Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/workforce-summary#headcount, integer) [summary use only]",Derived from health worker registry by counting active HWID records assigned to this HFID within this cadre_category.,Periodic  updated from HWR,No,No,Derived field  must not be manually entered or edited. Reflects the count of active health worker registry records assigned to this facility at the time of last aggregation.,WARNING ADDRESSED: Named extension URL added. PractitionerRole is the conformant R4 approach; extension is a summary shortcut. Was: Location.extension (workforce count)
workforce_last_updated,datetime,Timestamp of the most recent HWR aggregation that produced this workforce summary record.,,ISO 8601 datetime.,Required for each workforce summary record; system-generated,2024-03-01T08:00:00,Internal,facility_workforce,"Location.extension (http://camdhea.gov.kh/fhir/StructureDefinition/workforce-summary#last-updated, dateTime)",Qualifies headcount. Consumers should check this timestamp to assess data currency before using headcount for planning decisions.,Periodic  updated from HWR,No,No,,WARNING ADDRESSED: Named extension URL added with explicit dateTime type. Was: Location.extension (workforce timestamp)
CATCHMENT,,,,,,,,,,,,,,,
